"Area","Control","Item","Expected","Actual","Status","Note"
"Parte2 User Rights","2.2","SeBackupPrivilege","*S-1-5-32-544","*S-1-5-32-544","PASS",""
"Parte2 User Rights","2.2","SeSystemtimePrivilege","*S-1-5-32-544,*S-1-5-19","*S-1-5-19,*S-1-5-32-544","FAIL",""
"Parte2 User Rights","2.2","SeCreatePagefilePrivilege","*S-1-5-32-544","*S-1-5-32-544","PASS",""
"Parte2 User Rights","2.2","SeCreateTokenPrivilege","","MISSING","FAIL",""
"Parte2 User Rights","2.2","SeCreateGlobalPrivilege","*S-1-5-32-544,*S-1-5-19,*S-1-5-20,*S-1-5-6","*S-1-5-19,*S-1-5-20,*S-1-5-32-544,*S-1-5-6","FAIL",""
"Parte2 User Rights","2.2","SeCreatePermanentPrivilege","","MISSING","FAIL",""
"Parte2 User Rights","2.2","SeCreateSymbolicLinkPrivilege","*S-1-5-32-544,*S-1-5-83-0","*S-1-5-32-544,*S-1-5-83-0","PASS",""
"Parte2 User Rights","2.2","SeDebugPrivilege","*S-1-5-32-544","*S-1-5-32-544","PASS",""
"Parte2 User Rights","2.2","SeDenyBatchLogonRight","*S-1-5-32-546","*S-1-5-32-546","PASS",""
"Parte2 User Rights","2.2","SeDenyServiceLogonRight","*S-1-5-32-546","*S-1-5-32-546","PASS",""
"Parte2 User Rights","2.2","SeDenyInteractiveLogonRight","*S-1-5-32-546","*S-1-5-32-546","PASS",""
"Parte2 User Rights","2.2","SeEnableDelegationPrivilege","","MISSING","FAIL",""
"Parte2 User Rights","2.2","SeRemoteShutdownPrivilege","*S-1-5-32-544","*S-1-5-32-544","PASS",""
"Parte2 User Rights","2.2","SeAuditPrivilege","*S-1-5-19,*S-1-5-20","*S-1-5-19,*S-1-5-20","PASS",""
"Parte2 User Rights","2.2","SeImpersonatePrivilege","*S-1-5-32-544,*S-1-5-19,*S-1-5-20,*S-1-5-6","*S-1-5-19,*S-1-5-20,*S-1-5-32-544,*S-1-5-6","FAIL",""
"Parte2 User Rights","2.2","SeIncreaseBasePriorityPrivilege","*S-1-5-32-544,*S-1-5-90-0","*S-1-5-32-544,*S-1-5-90-0","PASS",""
"Parte2 User Rights","2.2","SeLoadDriverPrivilege","*S-1-5-32-544","*S-1-5-32-544","PASS",""
"Parte2 User Rights","2.2","SeLockMemoryPrivilege","","MISSING","FAIL",""
"Parte2 User Rights","2.2","SeSecurityPrivilege","*S-1-5-32-544","*S-1-5-32-544","PASS",""
"Parte2 User Rights","2.2","SeRelabelPrivilege","","MISSING","FAIL",""
"Parte2 User Rights","2.2","SeSystemEnvironmentPrivilege","*S-1-5-32-544","*S-1-5-32-544","PASS",""
"Parte2 User Rights","2.2","SeManageVolumePrivilege","*S-1-5-32-544","*S-1-5-32-544","PASS",""
"Parte2 User Rights","2.2","SeProfileSingleProcessPrivilege","*S-1-5-32-544","*S-1-5-32-544","PASS",""
"Parte2 User Rights","2.2","SeSystemProfilePrivilege","*S-1-5-32-544,*S-1-5-80-3139157870-2983391045-3678747466-658725712-1809340420","*S-1-5-32-544,*S-1-5-80-3139157870-2983391045-3678747466-658725712-1809340420","PASS",""
"Parte2 User Rights","2.2","SeAssignPrimaryTokenPrivilege","*S-1-5-19,*S-1-5-20","*S-1-5-19,*S-1-5-20","PASS",""
"Parte2 User Rights","2.2","SeRestorePrivilege","*S-1-5-32-544","*S-1-5-32-544","PASS",""
"Parte2 User Rights","2.2","SeShutdownPrivilege","*S-1-5-32-544","*S-1-5-32-544","PASS",""
"Parte2 User Rights","2.2","SeTakeOwnershipPrivilege","*S-1-5-32-544","*S-1-5-32-544","PASS",""
"Parte3 Firewall","9.x","Domain Firewall Enabled","True","True","PASS",""
"Parte3 Firewall","9.x","Domain DefaultInboundAction","Block","NotConfigured","FAIL",""
"Parte3 Firewall","9.x","Domain LogBlocked","True","False","FAIL",""
"Parte3 Firewall","9.x","Domain LogAllowed","True","False","FAIL",""
"Parte3 Firewall","9.x","Private Firewall Enabled","True","True","PASS",""
"Parte3 Firewall","9.x","Private DefaultInboundAction","Block","NotConfigured","FAIL",""
"Parte3 Firewall","9.x","Private LogBlocked","True","False","FAIL",""
"Parte3 Firewall","9.x","Private LogAllowed","True","False","FAIL",""
"Parte3 Firewall","9.x","Public Firewall Enabled","True","True","PASS",""
"Parte3 Firewall","9.x","Public DefaultInboundAction","Block","NotConfigured","FAIL",""
"Parte3 Firewall","9.x","Public LogBlocked","True","False","FAIL",""
"Parte3 Firewall","9.x","Public LogAllowed","True","False","FAIL",""
"Parte3 Audit Policy","17.1.1","Credential Validation","Success and Failure","Success and Failure","PASS","Audit Credential Validation"
"Parte3 Audit Policy","17.2.1","Application Group Management","Success and Failure","Success and Failure","PASS","Audit Application Group Management"
"Parte3 Audit Policy","17.2.5","Security Group Management","Success","Success","PASS","Audit Security Group Management"
"Parte3 Audit Policy","17.2.6","User Account Management","Success and Failure","Success and Failure","PASS","Audit User Account Management"
"Parte3 Audit Policy","17.3.1","Plug and Play Events","Success","Success","PASS","Audit PNP Activity"
"Parte3 Audit Policy","17.3.2","Process Creation","Success","Success","PASS","Audit Process Creation"
"Parte3 Audit Policy","17.5.1","Account Lockout","Failure","Failure","PASS","Audit Account Lockout"
"Parte3 Audit Policy","17.5.2","Group Membership","Success","Success","PASS","Audit Group Membership"
"Parte3 Audit Policy","17.5.3","Logoff","Success","Logon/Logoff","FAIL","Audit Logoff"
"Parte3 Audit Policy","17.5.4","Logon","Success and Failure","Logon/Logoff","FAIL","Audit Logon"
"Parte3 Audit Policy","17.5.5","Other Logon/Logoff Events","Success and Failure","Success and Failure","PASS","Audit Other Logon/Logoff Events"
"Parte3 Audit Policy","17.5.6","Special Logon","Success","Success","PASS","Audit Special Logon"
"Parte3 Audit Policy","17.6.1","Detailed File Share","Failure","Failure","PASS","Audit Detailed File Share"
"Parte3 Audit Policy","17.6.2","File Share","Success and Failure","Success and Failure","PASS","Audit File Share"
"Parte3 Audit Policy","17.6.3","Other Object Access Events","Success and Failure","Success and Failure","PASS","Audit Other Object Access Events"
"Parte3 Audit Policy","17.6.4","Removable Storage","Success and Failure","Success and Failure","PASS","Audit Removable Storage"
"Parte3 Audit Policy","17.7.1","Audit Policy Change","Success","Success","PASS","Audit Audit Policy Change"
"Parte3 Audit Policy","17.7.2","Authentication Policy Change","Success","Success","PASS","Audit Authentication Policy Change"
"Parte3 Audit Policy","17.7.3","Authorization Policy Change","Success","Success","PASS","Audit Authorization Policy Change"
"Parte3 Audit Policy","17.7.4","MPSSVC Rule-Level Policy Change","Success and Failure","Success and Failure","PASS","Audit MPSSVC Rule-Level Policy Change"
"Parte3 Audit Policy","17.7.5","Other Policy Change Events","Failure","Failure","PASS","Audit Other Policy Change Events"
"Parte3 Audit Policy","17.8.1","Sensitive Privilege Use","Success and Failure","Success and Failure","PASS","Audit Sensitive Privilege Use"
"Parte3 Audit Policy","17.9.1","IPsec Driver","Success and Failure","Success and Failure","PASS","Audit IPsec Driver"
"Parte3 Audit Policy","17.9.2","Other System Events","Success and Failure","Success and Failure","PASS","Audit Other System Events"
"Parte3 Audit Policy","17.9.3","Security State Change","Success","Success","PASS","Audit Security State Change"
"Parte3 Audit Policy","17.9.4","Security System Extension","Success","Success","PASS","Audit Security System Extension"
"Parte3 Audit Policy","17.9.5","System Integrity","Success and Failure","Success and Failure","PASS","Audit System Integrity"
"Registry CIS","2.3.1.2","HKLM:\SYSTEM\CurrentControlSet\Control\Lsa\LimitBlankPasswordUse","1","1","PASS","Limit blank passwords to console logon only = Enabled"
"Registry CIS","2.3.2.1","HKLM:\SYSTEM\CurrentControlSet\Control\Lsa\SCENoApplyLegacyAuditPolicy","1","1","PASS","Force audit policy subcategory settings = Enabled"
"Registry CIS","2.3.2.2","HKLM:\SYSTEM\CurrentControlSet\Control\Lsa\CrashOnAuditFail","0","0","PASS","Shut down if unable to log security audits = Disabled"
"Registry CIS","2.3.4.1","HKLM:\SYSTEM\CurrentControlSet\Control\Print\Providers\LanMan Print Services\Servers\AddPrinterDrivers","1","1","PASS","Prevent users from installing printer drivers = Enabled"
"Registry CIS","2.3.6.1","HKLM:\SYSTEM\CurrentControlSet\Services\Netlogon\Parameters\RequireSignOrSeal","1","1","PASS","Digitally encrypt or sign secure channel data (always) = Enabled"
"Registry CIS","2.3.6.2","HKLM:\SYSTEM\CurrentControlSet\Services\Netlogon\Parameters\SealSecureChannel","1","1","PASS","Digitally encrypt secure channel data (when possible) = Enabled"
"Registry CIS","2.3.6.3","HKLM:\SYSTEM\CurrentControlSet\Services\Netlogon\Parameters\SignSecureChannel","1","1","PASS","Digitally sign secure channel data (when possible) = Enabled"
"Registry CIS","2.3.6.4","HKLM:\SYSTEM\CurrentControlSet\Services\Netlogon\Parameters\DisablePasswordChange","0","0","PASS","Disable machine account password changes = Disabled"
"Registry CIS","2.3.6.5","HKLM:\SYSTEM\CurrentControlSet\Services\Netlogon\Parameters\MaximumPasswordAge","30","30","PASS","Maximum machine account password age = 30 days"
"Registry CIS","2.3.6.6","HKLM:\SYSTEM\CurrentControlSet\Services\Netlogon\Parameters\RequireStrongKey","1","1","PASS","Require strong session key = Enabled"
"Registry CIS","2.3.7.1","HKLM:\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\System\DisableCAD","0","0","PASS","Do not require CTRL+ALT+DEL = Disabled (Level 2)"
"Registry CIS","2.3.7.2","HKLM:\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\System\DontDisplayLastUserName","1","1","PASS","Don't display last signed-in = Enabled"
"Registry CIS","2.3.7.3","HKLM:\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\System\InactivityTimeoutSecs","900","900","PASS","Machine inactivity limit = 900 seconds"
"Registry CIS","2.3.7.6","HKLM:\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Winlogon\CachedLogonsCount","4","4","PASS","Number of previous logons to cache = 4 (Level 2)"
"Registry CIS","2.3.7.7","HKLM:\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Winlogon\PasswordExpiryWarning","14","14","PASS","Prompt to change password before expiration = 14 days"
"Registry CIS","2.3.7.9","HKLM:\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Winlogon\ScRemoveOption","1","1","PASS","Smart card removal behavior = Lock Workstation"
"Registry CIS","2.3.8.1","HKLM:\SYSTEM\CurrentControlSet\Services\LanmanWorkstation\Parameters\RequireSecuritySignature","1","1","PASS","Network client: Digitally sign communications (always) = Enabled"
"Registry CIS","2.3.8.2","HKLM:\SYSTEM\CurrentControlSet\Services\LanmanWorkstation\Parameters\EnablePlainTextPassword","0","0","PASS","Send unencrypted password to third-party SMB = Disabled"
"Registry CIS","2.3.9.1","HKLM:\SYSTEM\CurrentControlSet\Services\LanManServer\Parameters\AutoDisconnect","15","15","PASS","Idle time before suspending session = 15 minutes"
"Registry CIS","2.3.9.2","HKLM:\SYSTEM\CurrentControlSet\Services\LanManServer\Parameters\RequireSecuritySignature","1","1","PASS","Network server: Digitally sign communications (always) = Enabled"
"Registry CIS","2.3.9.3","HKLM:\SYSTEM\CurrentControlSet\Services\LanManServer\Parameters\enableforcedlogoff","1","1","PASS","Disconnect clients when logon hours expire = Enabled"
"Registry CIS","2.3.9.4","HKLM:\SYSTEM\CurrentControlSet\Services\LanManServer\Parameters\SMBServerNameHardeningLevel","1","1","PASS","Server SPN target name validation = Accept if provided by client"
"Registry CIS","2.3.10.2","HKLM:\SYSTEM\CurrentControlSet\Control\Lsa\RestrictAnonymousSAM","1","1","PASS","Do not allow anonymous enumeration of SAM accounts = Enabled"
"Registry CIS","2.3.10.3","HKLM:\SYSTEM\CurrentControlSet\Control\Lsa\RestrictAnonymous","1","1","PASS","Do not allow anonymous enumeration of SAM accounts and shares = Enabled"
"Registry CIS","2.3.10.4","HKLM:\SYSTEM\CurrentControlSet\Control\Lsa\DisableDomainCreds","1","1","PASS","Do not allow storage of passwords for network auth = Enabled (Level 2)"
"Registry CIS","2.3.10.5","HKLM:\SYSTEM\CurrentControlSet\Control\Lsa\EveryoneIncludesAnonymous","0","0","PASS","Let Everyone permissions apply to anonymous users = Disabled"
"Registry CIS","2.3.10.7","HKLM:\SYSTEM\CurrentControlSet\Services\LanManServer\Parameters\NullSessionPipes","@()","","FAIL","Named Pipes accessible anonymously = blank"
"Registry CIS","2.3.10.8","HKLM:\SYSTEM\CurrentControlSet\Control\SecurePipeServers\Winreg\AllowedExactPaths\Machine","$regPaths","System\CurrentControlSet\Control\ProductOptions System\CurrentControlSet\Control\Server Applications Software\Microsoft\Windows NT\CurrentVersion","FAIL","Remotely accessible registry paths configured"
"Registry CIS","2.3.10.9","HKLM:\SYSTEM\CurrentControlSet\Control\SecurePipeServers\Winreg\AllowedPaths\Machine","$regSubPaths","System\CurrentControlSet\Control\Print\Printers System\CurrentControlSet\Services\Eventlog Software\Microsoft\OLAP Server Software\Microsoft\Windows NT\CurrentVersion\Print Software\Microsoft\Windows NT\CurrentVersion\Windows System\CurrentControlSet\Control\ContentIndex System\CurrentControlSet\Control\Terminal Server System\CurrentControlSet\Control\Terminal Server\UserConfig System\CurrentControlSet\Control\Terminal Server\DefaultUserConfiguration Software\Microsoft\Windows NT\CurrentVersion\Perflib System\CurrentControlSet\Services\SysmonLog","FAIL","Remotely accessible registry paths and sub-paths configured"
"Registry CIS","2.3.10.10","HKLM:\SYSTEM\CurrentControlSet\Services\LanManServer\Parameters\RestrictNullSessAccess","1","1","PASS","Restrict anonymous access to Named Pipes and Shares = Enabled"
"Registry CIS","2.3.10.11","HKLM:\SYSTEM\CurrentControlSet\Control\Lsa\RestrictRemoteSAM","O:BAG:BAD:(A;;RC;;;BA)","O:BAG:BAD:(A;;RC;;;BA)","PASS","Restrict remote calls to SAM = Administrators only"
"Registry CIS","2.3.10.12","HKLM:\SYSTEM\CurrentControlSet\Services\LanManServer\Parameters\NullSessionShares","@()","","FAIL","Shares accessible anonymously = None"
"Registry CIS","2.3.10.13","HKLM:\SYSTEM\CurrentControlSet\Control\Lsa\ForceGuest","0","0","PASS","Sharing and security model for local accounts = Classic"
"Registry CIS","2.3.11.1","HKLM:\SYSTEM\CurrentControlSet\Control\Lsa\UseMachineId","1","1","PASS","Allow Local System to use computer identity for NTLM = Enabled"
"Registry CIS","2.3.11.2","HKLM:\SYSTEM\CurrentControlSet\Control\Lsa\MSV1_0\AllowNullSessionFallback","0","0","PASS","Allow LocalSystem NULL session fallback = Disabled"
"Registry CIS","2.3.11.3","HKLM:\SYSTEM\CurrentControlSet\Control\Lsa\pku2u\AllowOnlineID","0","0","PASS","Allow PKU2U authentication = Disabled"
"Registry CIS","2.3.11.4","HKLM:\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\System\Kerberos\Parameters\SupportedEncryptionTypes","2147483640","2147483640","PASS","Kerberos encryption types = AES128, AES256, Future"
"Registry CIS","2.3.11.5","HKLM:\SYSTEM\CurrentControlSet\Services\LanManServer\Parameters\EnableForcedLogOff","1","1","PASS","Force logoff when logon hours expire = Enabled"
"Registry CIS","2.3.11.6","HKLM:\SYSTEM\CurrentControlSet\Control\Lsa\LmCompatibilityLevel","5","5","PASS","LAN Manager authentication level = NTLMv2 only (level 5)"
"Registry CIS","2.3.11.9","HKLM:\SYSTEM\CurrentControlSet\Control\Lsa\MSV1_0\NTLMMinClientSec","537395200","537395200","PASS","Min session security NTLM SSP clients = NTLMv2+128bit"
"Registry CIS","2.3.11.10","HKLM:\SYSTEM\CurrentControlSet\Control\Lsa\MSV1_0\NTLMMinServerSec","537395200","537395200","PASS","Min session security NTLM SSP servers = NTLMv2+128bit"
"Registry CIS","2.3.11.11","HKLM:\SYSTEM\CurrentControlSet\Control\Lsa\MSV1_0\AuditReceivingNTLMTraffic","1","1","PASS","Restrict NTLM: Audit Incoming NTLM Traffic = Enable auditing"
"Registry CIS","2.3.11.13","HKLM:\SYSTEM\CurrentControlSet\Control\Lsa\MSV1_0\RestrictSendingNTLMTraffic","1","1","PASS","Restrict NTLM: Outgoing NTLM traffic = Audit all"
"Registry CIS","2.3.13.1","HKLM:\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\System\ShutdownWithoutLogon","0","0","PASS","Allow system shutdown without logon = Disabled"
"Registry CIS","2.3.15.1","HKLM:\SYSTEM\CurrentControlSet\Control\Session Manager\Kernel\ObCaseInsensitive","1","1","PASS","Require case insensitivity for non-Windows subsystems = Enabled"
"Registry CIS","2.3.15.2","HKLM:\SYSTEM\CurrentControlSet\Control\Session Manager\ProtectionMode","1","1","PASS","Strengthen default permissions of internal system objects = Enabled"
"Registry CIS","2.3.17.1","HKLM:\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\System\FilterAdministratorToken","1","1","PASS","Admin Approval Mode for Built-in Administrator = Enabled"
"Registry CIS","2.3.17.2","HKLM:\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\System\ConsentPromptBehaviorAdmin","2","2","PASS","Elevation prompt for admins = Prompt for consent on secure desktop"
"Registry CIS","2.3.17.3","HKLM:\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\System\ConsentPromptBehaviorUser","0","0","PASS","Elevation prompt for standard users = Automatically deny"
"Registry CIS","2.3.17.4","HKLM:\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\System\EnableInstallerDetection","1","1","PASS","Detect application installations and prompt for elevation = Enabled"
"Registry CIS","2.3.17.5","HKLM:\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\System\EnableSecureUIAPaths","1","1","PASS","Only elevate UIAccess apps in secure locations = Enabled"
"Registry CIS","2.3.17.6","HKLM:\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\System\EnableLUA","1","1","PASS","Run all administrators in Admin Approval Mode = Enabled"
"Registry CIS","2.3.17.7","HKLM:\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\System\PromptOnSecureDesktop","1","1","PASS","Switch to secure desktop when prompting = Enabled"
"Registry CIS","2.3.17.8","HKLM:\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\System\EnableVirtualization","1","1","PASS","Virtualize file and registry write failures = Enabled"
"Registry CIS","9.1.1","HKLM:\SOFTWARE\Policies\Microsoft\WindowsFirewall\DomainProfile\EnableFirewall","1","1","PASS","Domain: Firewall state = On"
"Registry CIS","9.1.2","HKLM:\SOFTWARE\Policies\Microsoft\WindowsFirewall\DomainProfile\DefaultInboundAction","1","1","PASS","Domain: Inbound connections = Block"
"Registry CIS","9.1.3","HKLM:\SOFTWARE\Policies\Microsoft\WindowsFirewall\DomainProfile\DisableNotifications","1","1","PASS","Domain: Display a notification = No"
"Registry CIS","9.1.4","HKLM:\SOFTWARE\Policies\Microsoft\WindowsFirewall\DomainProfile\Logging\LogFilePath","%SystemRoot%\System32\logfiles\firewall\domainfw.log","%SystemRoot%\System32\logfiles\firewall\domainfw.log","PASS","Domain: Logging Name = domainfw.log"
"Registry CIS","9.1.5","HKLM:\SOFTWARE\Policies\Microsoft\WindowsFirewall\DomainProfile\Logging\LogFileSize","16384","16384","PASS","Domain: Log size = 16384 KB"
"Registry CIS","9.1.6","HKLM:\SOFTWARE\Policies\Microsoft\WindowsFirewall\DomainProfile\Logging\LogDroppedPackets","1","1","PASS","Domain: Log dropped packets = Yes"
"Registry CIS","9.1.7","HKLM:\SOFTWARE\Policies\Microsoft\WindowsFirewall\DomainProfile\Logging\LogSuccessfulConnections","1","1","PASS","Domain: Log successful connections = Yes"
"Registry CIS","9.2.1","HKLM:\SOFTWARE\Policies\Microsoft\WindowsFirewall\PrivateProfile\EnableFirewall","1","1","PASS","Private: Firewall state = On"
"Registry CIS","9.2.2","HKLM:\SOFTWARE\Policies\Microsoft\WindowsFirewall\PrivateProfile\DefaultInboundAction","1","1","PASS","Private: Inbound connections = Block"
"Registry CIS","9.2.3","HKLM:\SOFTWARE\Policies\Microsoft\WindowsFirewall\PrivateProfile\DisableNotifications","1","1","PASS","Private: Display a notification = No"
"Registry CIS","9.2.4","HKLM:\SOFTWARE\Policies\Microsoft\WindowsFirewall\PrivateProfile\Logging\LogFilePath","%SystemRoot%\System32\logfiles\firewall\privatefw.log","%SystemRoot%\System32\logfiles\firewall\privatefw.log","PASS","Private: Logging Name = privatefw.log"
"Registry CIS","9.2.5","HKLM:\SOFTWARE\Policies\Microsoft\WindowsFirewall\PrivateProfile\Logging\LogFileSize","16384","16384","PASS","Private: Log size = 16384 KB"
"Registry CIS","9.2.6","HKLM:\SOFTWARE\Policies\Microsoft\WindowsFirewall\PrivateProfile\Logging\LogDroppedPackets","1","1","PASS","Private: Log dropped packets = Yes"
"Registry CIS","9.2.7","HKLM:\SOFTWARE\Policies\Microsoft\WindowsFirewall\PrivateProfile\Logging\LogSuccessfulConnections","1","1","PASS","Private: Log successful connections = Yes"
"Registry CIS","9.3.1","HKLM:\SOFTWARE\Policies\Microsoft\WindowsFirewall\PublicProfile\EnableFirewall","1","1","PASS","Public: Firewall state = On"
"Registry CIS","9.3.2","HKLM:\SOFTWARE\Policies\Microsoft\WindowsFirewall\PublicProfile\DefaultInboundAction","1","1","PASS","Public: Inbound connections = Block"
"Registry CIS","9.3.3","HKLM:\SOFTWARE\Policies\Microsoft\WindowsFirewall\PublicProfile\DisableNotifications","1","1","PASS","Public: Display a notification = No"
"Registry CIS","9.3.4","HKLM:\SOFTWARE\Policies\Microsoft\WindowsFirewall\PublicProfile\AllowLocalPolicyMerge","0","1","FAIL","Public: Apply local firewall rules = No"
"Registry CIS","9.3.5","HKLM:\SOFTWARE\Policies\Microsoft\WindowsFirewall\PublicProfile\AllowLocalIPsecPolicyMerge","0","1","FAIL","Public: Apply local connection security rules = No"
"Registry CIS","9.3.6","HKLM:\SOFTWARE\Policies\Microsoft\WindowsFirewall\PublicProfile\Logging\LogFilePath","%SystemRoot%\System32\logfiles\firewall\publicfw.log","%SystemRoot%\System32\logfiles\firewall\publicfw.log","PASS","Public: Logging Name = publicfw.log"
"Registry CIS","9.3.7","HKLM:\SOFTWARE\Policies\Microsoft\WindowsFirewall\PublicProfile\Logging\LogFileSize","16384","16384","PASS","Public: Log size = 16384 KB"
"Registry CIS","9.3.8","HKLM:\SOFTWARE\Policies\Microsoft\WindowsFirewall\PublicProfile\Logging\LogDroppedPackets","1","1","PASS","Public: Log dropped packets = Yes"
"Registry CIS","9.3.9","HKLM:\SOFTWARE\Policies\Microsoft\WindowsFirewall\PublicProfile\Logging\LogSuccessfulConnections","1","1","PASS","Public: Log successful connections = Yes"
"Registry CIS","18.1.1.1","HKLM:\SOFTWARE\Policies\Microsoft\Windows\Personalization\NoLockScreenCamera","1","1","PASS","Prevent enabling lock screen camera = Enabled"
"Registry CIS","18.1.1.2","HKLM:\SOFTWARE\Policies\Microsoft\Windows\Personalization\NoLockScreenSlideshow","1","1","PASS","Prevent enabling lock screen slide show = Enabled"
"Registry CIS","18.1.2.2","HKLM:\SOFTWARE\Policies\Microsoft\InputPersonalization\AllowInputPersonalization","0","0","PASS","Allow online speech recognition = Disabled"
"Registry CIS","18.1.3","HKLM:\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\Explorer\AllowOnlineTips","0","0","PASS","Allow Online Tips = Disabled"
"Registry CIS","18.4.1","HKLM:\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\System\LocalAccountTokenFilterPolicy","0","0","PASS","Apply UAC restrictions to local accounts on network logons = Enabled"
"Registry CIS","18.4.2","HKLM:\SYSTEM\CurrentControlSet\Services\MrxSmb10\Start","4","4","PASS","SMB v1 client driver = Disabled (4)"
"Registry CIS","18.4.3","HKLM:\SYSTEM\CurrentControlSet\Services\LanmanServer\Parameters\SMB1","0","0","PASS","SMB v1 server = Disabled"
"Registry CIS","18.4.4","HKLM:\SOFTWARE\Microsoft\Cryptography\Wintrust\Config\EnableCertPaddingCheck","1","1","PASS","Enable Certificate Padding = Enabled (32-bit)"
"Registry CIS","18.4.4","HKLM:\SOFTWARE\Wow6432Node\Microsoft\Cryptography\Wintrust\Config\EnableCertPaddingCheck","1","1","PASS","Enable Certificate Padding = Enabled (64-bit)"
"Registry CIS","18.4.5","HKLM:\SYSTEM\CurrentControlSet\Control\Session Manager\kernel\DisableExceptionChainValidation","0","0","PASS","Enable SEHOP = Enabled"
"Registry CIS","18.4.6","HKLM:\SYSTEM\CurrentControlSet\Services\NetBT\Parameters\NodeType","2","2","PASS","NetBT NodeType = P-node (2)"
"Registry CIS","18.5.1","HKLM:\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Winlogon\AutoAdminLogon","0","0","PASS","AutoAdminLogon = Disabled"
"Registry CIS","18.5.2","HKLM:\SYSTEM\CurrentControlSet\Services\Tcpip6\Parameters\DisableIPSourceRouting","2","2","PASS","DisableIPSourceRouting IPv6 = Highest protection (2)"
"Registry CIS","18.5.3","HKLM:\SYSTEM\CurrentControlSet\Services\Tcpip\Parameters\DisableIPSourceRouting","2","2","PASS","DisableIPSourceRouting IPv4 = Highest protection (2)"
"Registry CIS","18.5.4","HKLM:\SYSTEM\CurrentControlSet\Services\Tcpip\Parameters\EnableICMPRedirect","0","0","PASS","EnableICMPRedirect = Disabled"
"Registry CIS","18.5.6","HKLM:\SYSTEM\CurrentControlSet\Services\NetBT\Parameters\NoNameReleaseOnDemand","1","1","PASS","NoNameReleaseOnDemand = Enabled"
"Registry CIS","18.5.7","HKLM:\SYSTEM\CurrentControlSet\Services\Tcpip\Parameters\PerformRouterDiscovery","0","0","PASS","PerformRouterDiscovery = Disabled"
"Registry CIS","18.5.8","HKLM:\SYSTEM\CurrentControlSet\Control\Session Manager\SafeDllSearchMode","1","1","PASS","SafeDllSearchMode = Enabled"
